name,serving_size,calories,protein,carbs,fats,sugar,protein_per_calorie,calories_per_protein,date
Diced Tomatoes,1 ounce,5,0,1,0,0,0.0,0.0,2025-11-19
Red Pepper Sticks,1/2 cup,20,0,4,0,3,0.0,0.0,2025-11-19
Chopped Spinach,1/4 cup,0,0,0,0,0,0.0,0.0,2025-11-19
Grated Parmesan Cheese,1 tsp,10,0,0,0,0,0.0,0.0,2025-11-19
Crushed Red Pepper,1/8 tsp,0,0,0,0,0,0.0,0.0,2025-11-19
Dried Oregano,1 tsp,0,0,0,0,0,0.0,0.0,2025-11-19
Fresh Chopped Garlic,1 tbsp,15,0,3,0,0,0.0,0.0,2025-11-19
Chopped Romaine Lettuce,1 cup,10,0,2,0,0,0.0,0.0,2025-11-19
Baby Spinach,1/4 cup,0,0,0,0,0,0.0,0.0,2025-11-19
Shredded Carrots,1/4 cup,10,0,3,0,1,0.0,0.0,2025-11-19
Sliced Cucumber,1/4 cup,0,0,0,0,0,0.0,0.0,2025-11-19
Grape Tomatoes,1/4 cup,5,0,1,0,0,0.0,0.0,2025-11-19
Sliced Red Onion,1/4 cup,10,0,3,0,1,0.0,0.0,2025-11-19
Pickled Beets,1/2 cup,25,0,5,0,0,0.0,0.0,2025-11-19
Sliced Green Bell Pepper,1/4 cup,0,0,1,0,0,0.0,0.0,2025-11-19
Sliced Black Olives,1/4 cup,40,0,2,4,0,0.0,0.0,2025-11-19
Dried Cranberries,1 tbsp,30,0,8,0,7,0.0,0.0,2025-11-19
Homestyle Ranch Dressing,1 floz,100,0,0,11,0,0.0,0.0,2025-11-19
Balsamic Vinaigrette Dressing,1 floz,60,0,5,5,4,0.0,0.0,2025-11-19
Dijon Honey Dressing,1 floz,130,0,7,12,6,0.0,0.0,2025-11-19
French Dressing,1 floz,120,0,5,11,5,0.0,0.0,2025-11-19
Fat Free Italian Dressing,1 floz,15,0,3,0,2,0.0,0.0,2025-11-19
Olive Oil,1 floz,240,0,0,27,0,0.0,0.0,2025-11-19
Red Wine Vinegar,1 floz,5,0,0,0,0,0.0,0.0,2025-11-19
Crushed Red Pepper,1 tsp,5,0,1,0,0,0.0,0.0,2025-11-19
Dried Oregano,1 tsp,0,0,0,0,0,0.0,0.0,2025-11-19
Grated Parmesan Cheese,1 tsp,10,0,0,0,0,0.0,0.0,2025-11-19
Cubed Pineapple,1/4 cup,20,0,5,0,4,0.0,0.0,2025-11-19
Cubed Cantaloupe,1/4 cup,15,0,3,0,3,0.0,0.0,2025-11-19
Cubed Honeydew,1/4 cup,15,0,4,0,3,0.0,0.0,2025-11-19
Red Grapes,1/2 cup,50,0,14,0,12,0.0,0.0,2025-11-19
Cream Cheese,1 tbsp,50,0,0,5,0,0.0,0.0,2025-11-19
Strawberry Jelly Preserves,1 tbsp,50,0,13,0,12,0.0,0.0,2025-11-19
Grape Jelly,1 tbsp,50,0,13,0,12,0.0,0.0,2025-11-19
"Crackers, Saltine, 2 CT, Zesta",1 each,25,0,5,0,0,0.0,0.0,2025-11-19
Sweet and Sour Sauce,1 floz,40,1,8,0,7,0.025,40.0,2025-11-19
Gluten Free Soy Sauce,1 floz,20,1,4,0,2,0.05,20.0,2025-11-19
Tater Tots,1/2 cup,210,1,18,15,0,0.005,210.0,2025-11-19
Classic Caesar Dressing,1 floz,150,1,0,16,0,0.007,150.0,2025-11-19
Low-Fat Blueberry Yogurt,1/4 cup,35,1,7,0,5,0.029,35.0,2025-11-19
Vegan Chocolate Chip Cookies,1 each,130,1,15,8,7,0.008,130.0,2025-11-19
Blackened Sweet Potato,4 ounce,130,2,21,5,7,0.015,65.0,2025-11-19
"Mushrooms, Tomatoes and Spinach",1/2 cup,50,2,5,0,2,0.04,25.0,2025-11-19
Mr. Bing Chili Crisp Spicy,1 tbsp,90,2,6,9,0,0.022,45.0,2025-11-19
Pesto Alfredo Sauce,2 floz,120,2,3,11,2,0.017,60.0,2025-11-19
Marinara Sauce,1 ladle-4oz,70,2,14,0,9,0.029,35.0,2025-11-19
Shredded Cheddar Cheese,1 tbsp,30,2,0,0,0,0.067,15.0,2025-11-19
Blanched Broccoli,1/2 cup,25,2,5,0,1,0.08,12.5,2025-11-19
Blanched Cauliflower,1/2 cup,25,2,5,0,2,0.08,12.5,2025-11-19
Cooked Red Quinoa,1/4 cup,60,2,10,1,0,0.033,30.0,2025-11-19
Croutons,5 each,70,2,15,0,0,0.029,35.0,2025-11-19
Roasted Sunflower Seeds,1 tbsp,45,2,2,4,0,0.044,22.5,2025-11-19
strawberry cream cheese,2 tbsp,110,2,5,10,4,0.018,55.0,2025-11-19
Chive Cream Cheese,1 ounce,90,2,2,9,1,0.022,45.0,2025-11-19
Caramel Walnut Brownies,1 each,260,2,39,11,27,0.008,130.0,2025-11-19
Oatmeal Raisin Cookie,1 each,180,2,26,7,13,0.011,90.0,2025-11-19
Peach Cobbler,1/2 cup,310,2,51,12,37,0.006,155.0,2025-11-19
Cilantro Hummus,2 ounce,70,3,9,3,2,0.043,23.333,2025-11-19
Jollof Rice,1/2 cup,280,3,31,16,0,0.011,93.333,2025-11-19
Jasmine Rice,4 ounce,180,3,32,0,0,0.017,60.0,2025-11-19
Sliced American Cheese,1/2 ounce,50,3,0,0,0,0.06,16.667,2025-11-19
Hummus,2 ounce,110,3,8,8,1,0.027,36.667,2025-11-19
American Cheese Slice,1 slice,50,3,0,0,0,0.06,16.667,2025-11-19
Cheddar Cheese Slice,1 slice,60,3,0,0,0,0.05,20.0,2025-11-19
Whole Wheat Penne Pasta,1/2 cup,80,3,15,1,0,0.037,26.667,2025-11-19
Southwest Tortilla Soup,8 floz,130,3,17,6,4,0.023,43.333,2025-11-19
Dinner Roll,1 each,150,4,29,2,0,0.027,37.5,2025-11-19
Rotini Pasta,1/2 cup,110,4,21,0,0,0.036,27.5,2025-11-19
Herb Roasted Mushrooms,1/2 cup,70,4,4,5,0,0.057,17.5,2025-11-19
"Peanut Butter, .75 oz, Jif",1 each,120,4,5,10,2,0.033,30.0,2025-11-19
Chocolate Cake with Chocolate Frosting,1 slice,330,4,54,11,37,0.012,82.5,2025-11-19
Chow Mein Noodles,1 cup,220,5,30,8,0,0.023,44.0,2025-11-19
Jalapeno Poppers,3 each,330,5,29,23,3,0.015,66.0,2025-11-19
White Bread,2 slice,150,5,29,0,2,0.033,30.0,2025-11-19
Sliced American Swiss Cheese,1 slice,100,5,1,9,0,0.05,20.0,2025-11-19
Italian Meatballs,1 ounce,70,5,2,0,0,0.071,14.0,2025-11-19
Diced Ham,1/4 cup,45,5,2,0,0,0.111,9.0,2025-11-19
Cubed Tofu,1/4 cup,50,5,1,3,0,0.1,10.0,2025-11-19
Hard Boiled Egg,1 each,70,6,0,0,0,0.086,11.667,2025-11-19
African Chickpea Stew,8 floz,250,7,36,9,0,0.028,35.714,2025-11-19
Stir Fry Marinated Tofu,3 ounce,70,7,2,5,0,0.1,10.0,2025-11-19
"Chickpeas, Spinach, Roasted Tomatoes",1/2 cup,160,8,24,4,5,0.05,20.0,2025-11-19
"12"" Flour Tortilla",1 each,290,8,48,8,1,0.028,36.25,2025-11-19
Multigrain Bread,2 slice,280,8,52,4,8,0.029,35.0,2025-11-19
Whole Wheat Bread,2 slice,140,8,26,1,0,0.057,17.5,2025-11-19
Herb Marinated Black Beans,1/2 cup,130,8,22,2,0,0.062,16.25,2025-11-19
Cheese Pizza,1 slice,200,8,29,5,2,0.04,25.0,2025-11-19
Lemon Orzo,1/2 cup,230,8,44,3,2,0.035,28.75,2025-11-19
Pepperoni Pizza,1 slice,210,9,29,7,0,0.043,23.333,2025-11-19
Grilled Veggie Pizza,1 slice,220,10,34,5,3,0.045,22.0,2025-11-19
Hot & Spicy Tofu,3/4 cup,150,11,16,6,8,0.073,13.636,2025-11-19
Thinly Sliced Deli Turkey Breast,3 ounce,90,11,3,0,0,0.122,8.182,2025-11-19
2% Greek Plain Yogurt,1/2 cup,90,11,5,0,5,0.122,8.182,2025-11-19
Veggie Power Bowl,1 each,410,13,55,17,4,0.032,31.538,2025-11-19
Cottage Cheese,1/2 cup,80,14,3,1,3,0.175,5.714,2025-11-19
Thinly Sliced Smoked Ham,3 ounce,110,15,1,0,1,0.136,7.333,2025-11-19
FIT Tuna Salad,1/2 cup,100,17,2,0,0,0.17,5.882,2025-11-19
Grilled Chicken Thigh,3 ounce,170,20,0,9,0,0.118,8.5,2025-11-19
Chicken Tender Basket,1 each,570,24,58,28,3,0.042,23.75,2025-11-19
Chicken and Apricot Tagine,6 ounce,290,25,25,10,0,0.086,11.6,2025-11-19
Hoisin Glazed Beef,4 oz meat,300,25,6,18,5,0.083,12.0,2025-11-19
Chicken Salad,5 oz portion,200,28,3,9,0,0.14,7.143,2025-11-19
Cajun Chicken Penne,8 oz portion,660,31,79,25,2,0.047,21.29,2025-11-19
Texas Style BBQ'd Brisket,4 oz portion,320,32,0,20,0,0.1,10.0,2025-11-19
Buffalo Chicken Stromboli,1 piece,1050,75,103,37,6,0.071,14.0,2025-11-19
